,ALogp2,naAromAtom,nO,ATSc1,ATSc3,ATSc4,ATSc5,ATSm1,C3SP2,SC-3,SC-5,minwHBa,minHaaCH,minaaCH,maxHBa,hmin,gmin,LipoaffinityIndex,ETA_AlphaP,ETA_Epsilon_3,ETA_Shape_Y,ETA_BetaP_ns_d,ETA_EtaP_F,ETA_Eta_B,FMF,nHBAcc,MDEC-33,MLFER_A,nTRing,XLogP,ALogP,AMR,BCUTc-1l,CrippenLogP,SwHBa,SaasC,minHBd,minHBa,minaasC,maxHBd,maxaaCH,maxaasC,ETA_dEpsilon_B,ETA_dEpsilon_D,ETA_BetaP,ETA_EtaP_B_RC,MDEC-22,MDEC-23,MLFER_BH,MLFER_S
1648,6.2001,6,5,0.879802487596947,0.0413435720921375,-0.112598062223369,0.0110664223035941,43.5923057802576,0,2.24572781433929,0.616897483149637,0.181032306979762,0.467449899036749,1.9995156473083,14.2105931422311,-0.251629089603354,-0.154639847026696,11.275822516252,0.4735,0.44579,0.36823,0.01282,0.70353,0.33003,0.388235294117647,6,21.1425865244365,0.003,12,2.43,-2.49,142.3371,-0.382034039122953,5.47908,10.36404794402,1.74105754254563,0.0,2.02748540411762,0.842009364760086,0.0,2.03221534427973,0.899048177785551,0.01569,0.0,0.89744,0.02169,25.2723873732867,37.0377549994826,2.215,2.832
324,3.94260735999999,15,3,0.429456204274754,-0.0791642117070719,-0.00889281889151248,-0.0703964285885377,112.701613129572,2,1.79033641377785,0.74046817359701,-0.724351494627342,0.62604225718065,1.1821873818972,13.5186034242229,-0.097800925925926,-0.724351494627342,5.44628503025423,0.53874,0.44194,0.42186,0.11364,1.03942,0.4793,0.5,1,15.2802297234729,0.869,4,3.42,1.98559999999999,94.23,-0.358331774024106,5.14507,13.2501533690798,2.5484719262362,0.449867488662131,5.82069255479969,-0.724351494627342,0.637633553765859,1.54635404856386,0.944640442596792,0.14164,0.04829,1.48864,0.03351,1.77103013849235,11.9903214699549,0.797999999999999,2.201
504,7.73062416,16,2,0.20818983213539,-0.0811718179690899,0.0118986641048894,0.00108495707186969,25.0509822101245,5,1.56282908554046,0.386082763487954,-0.655670010288065,0.529001913265306,1.29373496157722,13.5263194691712,0.251867677626606,-0.655670010288065,8.11291653621936,0.47511,0.44194,0.38269,0.06818,1.068,0.33433,0.457142857142857,0,8.68695628590131,1.089,4,3.70799999999999,2.7804,93.8526,-0.360678736723484,4.21758,22.0440081373586,1.34081501926604,0.533510107842494,9.2859485569812,-0.655670010288065,0.622656713626681,1.9030432728647,0.815965608465608,0.11894,0.04336,1.51136,0.02692,12.1178250080011,26.1978164772453,0.914999999999999,1.975
147,1.67107328999999,18,3,0.463296182884591,-0.143345368417724,0.203150307934638,-0.0370181856792624,40.8111404463493,2,1.63575561870125,0.274971652376843,0.309294832946848,0.435697834128539,1.79020719649902,9.74955282630349,-0.401857146103732,-1.4151130449148,11.9090287019696,0.49167,0.44545,0.27966,0.03125,0.86892,0.1549,0.508196721311475,1,8.77666928235172,0.546,6,3.045,1.29269999999999,138.324899999999,-0.360567546994496,6.41318,30.8594185986122,6.17306307165566,0.516533808398307,-1.4151130449148,0.309294832946848,0.516533808398307,2.23179696512252,1.43471406807313,0.05889,0.01493,1.21875,0.01828,28.5264809331575,30.0689110480522,1.926,2.641
877,5.143824,15,1,0.404479849480915,0.00020775244410372,-0.0800728987045172,0.0707820543043838,29.0005620552218,3,2.79191107015198,0.743238643771983,-0.693307088267405,0.574468183106575,1.07291152263374,13.3516971040022,0.0374631519274375,-4.44602248152347,9.23455806241354,0.45611,0.44154,0.37177,0.02174,1.03162,0.62733,0.394736842105263,2,7.79339492314661,0.546,4,3.453,2.268,90.3155,-0.360466019103857,5.12109,11.418642946376,0.53229738809104,0.593624333418705,1.40312216553287,-0.693307088267405,0.593624333418705,1.64090797430083,0.658818972033258,0.09465,0.02556,1.29348,0.03849,6.52520088260997,16.124633251422,0.631999999999999,1.488
582,4.07595720999999,18,2,0.299065662028304,-0.0826622103849107,0.138380150445248,-0.0411206596594166,33.9089183723583,4,1.77844484497594,0.40021129156657,0.35789927456497,0.389415024748441,1.8297927313418,10.0268195157943,-0.260687709982217,0.277151431687867,14.1733766800173,0.48646,0.44545,0.31478,0.03125,0.87489,0.22739,0.461538461538461,1,10.432478921561,0.546,6,5.22199999999999,2.01889999999999,139.3081,-0.360531494904766,6.47109,32.0703386519542,6.59437470544794,0.45270580359788,2.52103377149782,0.35789927456497,0.45270580359788,2.25029427455168,1.38517545047581,0.04916,0.01395,1.20313,0.02054,30.3576173375404,38.4537307083538,1.414,2.271
260,2.21444160999999,18,3,0.567202929324891,-0.0743648835618444,0.180694223645414,-0.109358560346633,34.6833874078993,4,1.49564907378281,0.282360161368812,0.866677216708296,0.451151135859552,2.05002448377994,6.41679316143643,-0.363401515658217,-0.0286760489957642,13.2672298251059,0.48125,0.44545,0.28571,0.03125,0.92622,0.10006,0.476190476190476,2,10.0098020091336,0.003,6,2.553,1.48809999999999,136.656199999999,-0.377544951527089,5.37669,32.1424497974864,6.71272947973979,0.0,2.47559328125213,0.866677216708296,0.0,2.19221447961718,1.29963409888238,0.05467,0.0,1.22656,0.01656,29.9948495547752,33.3104824754646,1.638,2.358
1835,17.77128336,24,0,0.341741385017334,0.0510080075945057,-0.131489329453824,0.153840977537725,32.8661127184044,7,2.66990260222383,0.754873581539467,-0.710889130343494,0.488695817169843,1.09423327664399,13.6650479026678,-0.00932752267573688,-4.4672689909297,13.6128896336998,0.47347,0.44737,0.33944,0.0,1.1901,0.39306,0.571428571428571,1,14.5258886251708,0.003,11,5.241,4.2156,117.254199999999,-0.246716596236009,7.33949,30.2617341264635,0.934442974720753,0.0,13.6650479026678,-0.710889130343494,0.0,2.01359315948601,0.869912603930461,0.12589,0.0,1.47321,0.0294,20.531599323266,34.7096631995077,0.584999999999999,2.064
1382,0.0466992099999995,12,5,0.788416251821703,-0.0357293353154706,-0.20780712605386,0.0727378569075622,39.3052556881064,1,1.7579465279279,0.626922255514138,-0.455269431846811,0.490048524601731,1.60556055767071,13.2218842907533,0.0229424436955851,-0.951256578763192,5.24791355096047,0.46966,0.444,0.42584,0.05556,1.10944,0.35198,0.476190476190476,3,15.728639473017,0.003,5,1.551,0.216099999999998,105.572,-0.375972066096244,3.41068,15.6446642328613,3.24888391144425,0.0,0.589781800819425,0.33798637356177,0.0,1.99858091699421,1.12020976922041,0.08529,0.0,1.34259,0.02578,4.90130267024585,17.1332909743638,1.862,2.492
817,9.73564803999999,12,2,0.205053396586719,-0.0355417660699328,0.00600951840882739,0.00627923487040273,33.2618879789306,5,2.21839063675536,0.443300978150812,0.275484063995969,0.382266786344167,1.74166989415907,12.3509205276845,0.132667036722096,0.00281588561350454,7.87371631281484,0.49504,0.44545,0.33667,0.04167,0.86224,0.43125,0.465116279069767,1,8.34187178244879,0.546,7,2.67,3.12019999999999,104.536599999999,-0.360743768513116,5.01838,22.4128201726209,5.43169756001734,0.478915915161255,0.889480644817378,0.313243199534685,0.478915915161255,2.2431993260267,1.42899545014669,0.06751,0.0197,1.26042,0.0323,14.8603773017474,26.264207698819,0.833,2.13
1053,0.135718559999998,18,4,0.652856284759737,-0.109943848346084,0.0926425851485986,0.0372325571557959,41.9599005824829,5,2.14104072471641,0.395762464275441,-0.328795437516386,0.517194625535399,1.45427657895696,14.1715971202032,-0.402890046607787,-0.444034451616071,12.6408805009088,0.47349,0.44653,0.33678,0.04054,0.99363,0.26107,0.507246376811594,1,16.9399306471711,0.546,12,3.256,0.368399999999998,147.6143,-0.360524085752485,5.82419,24.4512480221644,4.50736899149557,0.48380358667999,2.49125431842416,-0.328795437516386,0.48380358667999,2.02051492819349,0.947411430494042,0.06312,0.01378,1.20946,0.021,30.9935986495064,40.6062842135516,1.955,2.872
1766,12.36084964,18,3,0.537083814345137,-0.105338415016209,0.164077051646485,0.0185909428547361,39.6874756859846,5,2.78799604537142,0.953232759152159,-1.07855328346196,0.441583771082397,1.44969412134816,15.3424205720192,-0.091048792202066,-2.77659276056101,12.2315641288513,0.46975,0.44167,0.3381,0.01471,1.14551,0.68594,0.360655737704918,3,9.21630307756881,1.222,5,4.98199999999999,3.5158,139.3406,-0.360797102003884,6.18927,24.2521592238048,4.00517527095078,0.461994972256117,1.75322331401696,0.0470448260756566,0.685456200243236,1.97456596189502,1.12805502935282,0.075,0.03028,1.23529,0.03029,23.5678401275405,36.0681958843091,1.16199999999999,2.341
1520,25.6542249999999,18,6,0.918055891219178,0.295840554624685,-0.0654799920496368,0.0455037565036837,45.1529466303736,7,3.93116157670202,0.505245191580949,-1.07270966470737,0.53047935387424,1.11298765071811,13.1007527695633,-0.133110418340709,-4.84722254933637,10.6084926646304,0.45436,0.44118,0.36681,0.02778,1.26196,0.90021,0.418181818181818,3,16.5651190433233,1.134,5,4.71399999999999,5.06499999999999,137.1906,-0.360447387611137,5.67399,18.870642429818,2.45747740902013,0.473807469321018,3.92203494997995,-0.42708510285579,0.707978343000929,1.77707834416799,0.790164779971778,0.11607,0.03267,1.3125,0.03456,17.1899232709733,36.4500398032321,1.36399999999999,3.323
1415,0.200793609999999,0,3,0.2398688006477,-0.0822320631037197,0.0398368227192321,-0.0457369218343224,20.3234071066228,1,2.37692542641044,1.39531608127342,0.980625,0.0,0.0,10.7016978458049,0.0521527777777777,-1.05141203703703,4.08931922571806,0.47222,0.43846,0.29412,0.0,0.36749,0.68231,0.227272727272727,3,4.32963838586645,0.949,3,1.511,-0.448099999999999,68.984,-0.392283753736832,1.78779,5.05188114134542,0.0,0.172091836734693,10.2741269841269,0.0,0.26750850340136,0.0,0.0,0.00939,0.0754,0.625,0.04746,2.40685194967072,7.84539828463126,1.15,1.08
1677,1.35536164,21,3,0.506708129169719,-0.0789181663483906,0.138643824834293,-0.084289446941156,40.0433677091758,4,1.98364787349405,0.354745037871115,0.284880999357632,0.461749470717273,1.76536431741225,10.166353110564,-0.218455916227831,0.284880999357632,15.76238175161,0.48108,0.44369,0.29775,0.04054,0.96916,0.29554,0.426666666666666,2,10.1080651306872,0.546,6,4.718,1.1642,156.9561,-0.36057914533178,7.43501,31.2892885733182,6.72145942474294,0.445968631733865,2.34225497228348,0.284880999357632,0.445968631733865,2.15755301329796,1.20558295540438,0.05025,0.01273,1.23649,0.01961,0.0,33.6651166549336,2.056,2.871
642,2.33386729,12,3,0.248996771528546,0.102426624166291,-0.0546176709557199,0.0281665644712077,31.8111404463493,3,2.22679245271129,0.928023344646048,0.119133099227344,0.440079428089213,1.464666005291,13.2831434240362,-0.0741940665154952,-5.51090277777778,7.72953131661388,0.48841,0.43731,0.30267,0.04348,0.96281,0.62911,0.304347826086956,3,4.75505018061921,0.546,2,2.6,1.5277,99.6826,-0.360194948261061,4.60255,14.1724211999487,3.78040330792811,0.512111195073631,1.62383030990173,0.119133099227344,0.512111195073631,1.94293467078189,0.965301188376585,0.05472,0.02204,1.23913,0.03483,7.13016837154728,14.3175627450057,0.647999999999999,1.944
53,0.592746009999995,23,1,0.680600256764164,0.438169891543591,-0.328126126032508,0.271985665921093,58.4950143920515,2,2.62234839033961,0.201184463531091,0.283869130430681,0.362175507996919,1.72367308609014,9.57274325278981,-0.116720000288489,-0.893909111101296,13.2086755624584,0.48978,0.44261,0.28385,0.04878,1.01388,0.50706,0.474358974358974,8,4.71083690196814,0.74,5,2.285,0.769899999999996,173.4056,-0.360535313485684,6.17468,27.8139351708081,9.0109665960989,0.315538265674726,-0.893909111101296,0.283869130430681,0.550372182247769,2.4555863433065,1.45212766886993,0.05125,0.02418,1.28659,0.02286,25.2614235821325,26.8068900462595,2.982,4.399
918,1.42062561,15,2,0.215805949882567,-0.0863172906226678,-0.0300631693861243,0.0349050642470952,24.7709428126775,2,1.34988067876254,0.521411704537781,-0.678651476022506,0.505182665658856,1.27246220710506,13.6218427185689,0.0977083333333332,-0.678651476022506,7.40090874443604,0.4644,0.44237,0.3999,0.04762,1.04467,0.28382,0.441176470588235,1,8.00690566722719,0.546,4,2.54,1.1919,87.9657,-0.357575717584532,3.45651,16.0675750083984,1.11511857520786,0.620273171768707,1.85601851851851,-0.678651476022506,0.761865197467876,1.90934130133534,0.818601662887377,0.10163,0.04906,1.46429,0.0258,8.10835480155346,18.5048076340569,2.244,2.74
949,2.07792225,27,3,0.540116787684811,-0.0601453490126963,0.125728929746572,-0.0963656126152984,49.4033480104522,5,2.50463081644176,0.312944064547525,0.0179122428737823,0.454637572317665,1.70725835046495,13.5281296267594,-0.231828602635899,0.0179122428737823,18.4303150705619,0.48261,0.44375,0.28378,0.02174,1.08878,0.38407,0.472527472527472,4,11.5971797309444,0.914,7,5.17799999999999,1.4415,196.4051,-0.360585129298214,8.10677999999999,43.5145898847595,6.71271368663624,0.236122286901668,2.3549085497127,0.26674401778373,0.54052127343299,2.15469587843481,1.18071219828179,0.05348,0.01984,1.26087,0.01957,0.0,48.5026030040878,2.503,4.008
867,6.97593743999999,21,2,1.00908862594274,-0.169593176004298,0.438474392871091,-0.124080067056106,51.0011241104437,3,4.54385566503102,1.10455295009835,-1.68203952225188,0.620552091206853,-0.0519247426964115,13.8815595332062,-0.165972820544655,-5.13615060555415,14.8693382717471,0.44823,0.44312,0.30319,0.02564,1.22373,0.91089,0.476190476190476,4,10.9679460095865,0.546,6,4.14199999999999,2.64119999999999,138.1892,-0.360565209244729,6.95089,8.77810660887443,-2.31890755601727,0.556017432388154,2.30847092403542,-1.68203952225188,0.556017432388154,1.60507713424876,0.512349149651188,0.08966,0.01629,1.22436,0.03438,21.6162536389288,26.8196455929756,2.01399999999999,2.776
1590,10.32593956,6,4,0.304763287169162,-0.0447462502188696,0.0047472934697961,0.00386865088234926,41.4578564434402,2,2.49143098956417,0.975473059088602,-0.132748784645714,0.349522722993339,1.87526379525688,11.9050322821935,0.0281920644022884,-0.14160274165839,14.5599534728524,0.47982,0.44074,0.26874,0.01316,0.46806,0.56767,0.186813186813186,2,9.62639769771307,0.891,10,8.392,-3.2134,137.8969,-0.392036595093511,7.98808999999999,9.18920523968577,3.23688980057641,0.151123740284588,0.90474329211267,0.395770889218794,0.496763168274556,2.18926143136665,1.4739315122189,0.01269,0.03594,0.78947,0.02399,0.0,33.3650033692241,1.178,2.218
1553,1.00560783999999,18,9,0.979802367335001,0.0967759772196759,-0.221339209133455,0.117051409190066,57.457954659595,4,3.62460392690916,0.581694944163248,-0.809825652993985,0.519461333546085,1.57430180943415,13.6464750166686,-0.43194836270339,-5.96970381761994,8.20772753092529,0.47121,0.44194,0.31351,0.04545,1.15594,0.77388,0.341772151898734,7,15.2742577799219,1.043,6,1.695,-1.00279999999999,165.3318,-0.363790506480447,6.68006,24.3452784709772,3.18819026071137,0.3820727985589,2.89478504608639,0.126460280381395,0.674110366425931,1.84516005106369,0.834011573359755,0.06436,0.03651,1.23295,0.02736,24.8316984958643,41.7161159723806,2.412,4.018
585,2.11818915999999,21,2,0.145020214719366,-0.0204621191932277,0.00440052348693606,0.00192037681209918,24.9089183723583,4,1.46062690727664,0.282360161368812,0.246337533585008,0.476759259259259,1.68198559670781,9.54874437726575,0.304802650226757,0.246337533585008,8.37814919448296,0.48116,0.44603,0.36145,0.04348,1.08181,0.1937,0.552631578947368,1,9.76071734265609,1.46,5,2.496,1.45539999999999,103.472,-0.361398867273469,5.30378,29.2934305576378,4.61518409547269,0.327845096371882,3.46889999055177,0.246337533585008,0.567348161773892,2.08128574577979,1.08915721844293,0.10103,0.05585,1.56522,0.02338,15.9254791665502,28.9199140364252,1.247,2.52
176,1.44600624999999,18,3,0.527742925482046,-0.144685648011999,0.175542120629421,-0.0578205267814535,43.3131845853919,2,1.92443075329606,0.274971652376843,-0.229923274049035,0.480784911186696,1.52381059156074,13.5670758705493,-0.394044646103732,-1.64917011218616,11.9507970903861,0.48543,0.44505,0.30589,0.04545,0.90866,0.26106,0.508196721311475,1,10.3289766873167,0.546,6,3.161,1.20249999999999,138.4527,-0.360530197046406,5.84278,25.5975522440459,5.16646272487977,0.484845183395965,-1.64917011218616,-0.229923274049035,0.484845183395965,2.09243055555555,1.16966777177684,0.06455,0.0154,1.2197,0.02094,25.9160131554904,30.9010635919051,1.83399999999999,2.654
360,0.0255680099999996,15,4,0.465289315565783,-0.0241170668040833,-0.000772456000827349,0.0477381612175517,22.4578564434402,1,1.38009969934424,0.219416096821287,0.0647278911564628,0.598118622448979,1.46638374485596,9.5636822877299,0.00888888888888872,0.0647278911564628,4.17184792497312,0.45965,0.4434,0.40076,0.07895,1.00788,0.24501,0.5,1,7.2492927710586,1.089,4,1.394,0.159899999999998,76.7502,-0.361318962562953,3.73878,12.2693733203157,1.7981142920131,0.598710081254724,5.14286286428151,0.0647278911564628,0.630927477855237,1.7007738095238,0.731984126984127,0.11152,0.05547,1.52632,0.02647,4.35397923304878,14.1459002773787,1.208,2.24
1898,7.75733904,24,0,0.239103992829308,-0.0396132155290052,0.0818625007788313,-0.0733716820950806,43.505840719527,2,1.75044362315349,0.497193874599065,0.954991094174295,0.448612991646,2.06537666359552,3.57946258853335,-0.0506071358584585,0.834397601861961,11.595285686621,0.50476,0.44795,0.35954,0.03704,1.09602,0.22739,0.595238095238095,3,10.7006771417235,0.416,7,4.678,2.7852,123.7978,-0.240219318229486,7.18888,37.1744308834178,6.41398935962849,0.3348666138266,0.888399167189065,0.954991094174295,0.3348666138266,2.29946710268469,1.5164023199279,0.10612,0.01769,1.58333,0.02435,17.662925204885,26.9338623679444,1.012,2.543
1306,0.0338928100000007,12,5,0.90901441432722,0.00159091301519484,0.145267652224259,-0.0612459770659253,46.0800391199841,3,2.02323847951726,0.776127406328269,-0.476817916981607,0.517965154503616,1.78236823111552,13.882135377299,-0.0826905391786347,-2.45409785793604,6.09476979462921,0.47714,0.44141,0.38323,0.02857,1.22613,0.45462,0.379310344827586,6,21.2754423377961,0.18,5,1.683,0.184100000000001,145.065599999999,-0.377219268159672,3.83636,21.6273190590845,2.57319461514582,0.488193014088351,-2.45409785793604,0.564307847552346,0.488193014088351,1.84378210530717,0.70616230005164,0.07881,0.02981,1.35,0.02282,10.0336264295997,28.4713390695588,2.582,4.309
214,0.00157609000000009,12,4,0.568648743215103,-0.105967796539271,-0.00783419550846411,0.106322643667575,33.4578564434402,2,1.93931681954223,0.435272245803513,0.0676926485855404,0.48762711797682,1.52267458013274,13.1208469057736,-0.345625097728827,-0.380370430452051,9.66914048319291,0.47444,0.44286,0.34426,0.03333,0.83732,0.38918,0.40983606557377,2,12.7788281127758,0.749,5,3.279,-0.0397000000000011,120.085399999999,-0.360757204304662,4.47279,15.5121703183118,2.86239343341495,0.517513379663786,2.45778155233651,0.0979169876938523,0.517513379663786,1.98347710380448,0.94391053174152,0.04168,0.01663,1.10833,0.02444,17.856254139032,22.9377435692118,1.996,2.463
928,0.432174759999999,12,2,0.191894571041178,-0.0290612729820122,-0.0300612116637414,0.0897546747521782,22.9089183723583,2,1.38009969934424,0.219416096821287,0.310459452414268,0.44115374622071,1.75578638091038,9.73325015642927,-0.109720096371882,0.310459452414268,7.86082052926754,0.47936,0.44237,0.33775,0.04762,0.79903,0.24501,0.38095238095238,1,4.55134114533948,1.089,4,2.377,0.657399999999999,90.7002,-0.361371717302134,4.02469,17.5382757379939,4.34103157489656,0.510873057843431,2.3572193877551,0.310459452414268,0.563630971576723,2.0276774691358,1.28293981481481,0.05467,0.04279,1.22619,0.02395,14.6676446745739,22.0715563505283,1.066,1.84399999999999
1759,10.6360776899999,18,3,0.395364775234763,-0.0189188700364556,-0.00831477733579831,0.076380813989668,37.1854315469419,5,2.9157641333986,0.915671074757532,-0.995277599823036,0.462314814814814,1.61404340118355,14.946599834495,-0.176048792202066,-0.995277599823036,12.7622631426121,0.47532,0.44194,0.34426,0.0303,1.0964,0.71863,0.360655737704918,3,9.14810977853032,1.134,5,4.18999999999999,3.26129999999999,139.655999999999,-0.36051170270306,6.08317,25.6791723483384,5.39240624568751,0.450502203661075,2.20998257327622,-0.212491824876939,0.679742757841482,1.98147261064919,1.05821487915643,0.06887,0.02946,1.26515,0.0322,20.7715851312908,33.0230728594719,1.198,2.377
